Scene file            Original photo
--------------------  ----------------------------------------
city-01.jpg           city1.avif
city-02.jpg           city10.avif
city-03.jpg           city2.avif
city-04.jpg           city3.avif
city-05.jpg           city4.jpg
city-06.jpg           city5.avif
city-07.jpg           city6.avif
city-08.jpg           city7.avif
city-09.jpg           city8.avif
city-10.jpg           city9.avif
mountain-01.jpg       bbcf0174a58f817d8398f159acc6cbedd89e87c09ff89ef7e145c6a03fa9a2d35d16108280d10e3c9cf90f82a327ca2bde16ca2d4d95238aa82ec0deb9e2f5bf.jpeg
mountain-02.jpg       mountains1.jpg
mountain-03.jpg       mountains10.avif
mountain-04.jpg       mountains2.jpg
mountain-05.jpg       mountains3.jpg
mountain-06.jpg       mountains4.JPG
mountain-07.jpg       mountains6.avif
mountain-08.jpg       mountains7.avif
mountain-09.jpg       mountains8.avif
mountain-10.jpg       mountains9.avif
